编号,能力分层,能力类型,分组,问题描述,涉及金额,影响报表项目,影响认定,性质,严重程度,处理方式,隐蔽手法,为什么难,检出路径,证据文件,应实施程序,可自动检出规则,需要的能力
H01,T2,跨表勾稽,存货与成本,"暂估入库未冲回：采购发票已到 400,000,000，暂估 393,200,000 未调整，差额 6,800,000 长期挂在预付账款，存货与成本同时少计",6800000,存货、预付款项、营业成本,计价与分摊、完整性,错报,中,需调整,总账三处各自平衡；差额只在『采购发票登记簿汇总金额』与『存货入库明细汇总金额』两个不同来源的合计数相减时出现,两张明细表都很长且看起来完整，没有任何一行异常；只有把两份文件的合计数拿来相减才有信号,① 汇总《采购发票登记簿》本期到票金额 → ② 汇总《存货入库明细》本期入库金额 → ③ 两者差额与《预付账款账龄表》里长期挂账部分比对 → ④ 差额应调整存货与成本,02_业务资料/采购发票登记簿.csv；02_业务资料/存货入库明细表.csv；02_业务资料/预付账款账龄明细表.csv,采购截止与暂估复核：已到票未冲暂估的追踪,cross_purchase_invoice,跨文件求和比对
H02,T2,跨表勾稽,收入与应收,"账龄分布整体下调一档：将 1–2 年的 8,000,000 全部列示为 1 年以内，账龄合计与总账一致，坏账准备少提 4,500,000",4500000,应收账款、信用减值损失,计价与分摊,错报,高,需调整,账龄表合计数与总账应收账款**完全一致**，表面无任何差；只有拿销售台账的『原始赊销日期』逐笔重算账龄，才发现年份归属被改,总额勾稽通过会给出虚假的安心感；必须放弃『总额对得上就没问题』的默认假设，改用原始日期重算明细,① 从《应收账款明细表（按客户）》取每笔赊销的初始确认日期 → ② 按 2025-12-31 重算账龄分档 → ③ 与管理层账龄表逐客户比对 → ④ 按 1 年以内 5% / 1–2 年 30% 重算坏账,02_业务资料/应收账款账龄明细表_管理层编制.csv；02_业务资料/应收账款明细表_按客户.csv,账龄分析：按原始凭证日期独立重算账龄，而非复核管理层账龄表,aging_recompute_strict,不信任汇总数，回原始日期重算
H03,T2,跨表勾稽,固定资产与在建工程,"折旧两个方向同时出错：2 张已提足的卡片仍继续计提（超提 6,032,500），1 张转固后延后 3 个月起提（少提 6,483,750），净影响仅 451,250 元，远低于重要性水平 1,500,000",451250,固定资产、管理费用、营业成本,计价与分摊,错报,中,需调整,"两个方向的错误**互相抵消**，折旧总额只差 451,250 元，远低于重要性水平；只看『本期折旧合计 vs 软件折旧汇总』会直接放行",要求逐张卡片重算，而不是只对合计数；模型的默认路径是核总数,① 取卡片『原值/转固日期/年限/残值率/期初累计折旧』 → ② 逐张重算应有本期折旧，并判断是否已达『应计折旧总额』上限 → ③ 与账面逐张比对 → ④ 分别列示超提与少提,02_业务资料/固定资产卡片明细表.csv,折旧重算：逐张卡片独立重算，含已达折旧上限的资产,dep_recompute_per_card,逐条重算而非核对合计
H04,T2,跨表勾稽,税务与补助,"个人所得税代扣跨主体归属：母公司计提、销售子公司缴纳，两套账各自平衡，但分主体申报表与账面不符 2,300,000",2300000,应交税费、应付职工薪酬,准确性、完整性,错报,低,需调整,合并层面完全抵消，合并报表看不出任何问题；只有**分主体**把申报表与账面对，才发现归属错位,大部分程序默认在合并层面做，跨主体归属类问题天然隐形,① 分主体取《应交税费》个人所得税明细 → ② 与《个人所得税申报缴纳表》分主体比对 → ③ 确认代扣主体与缴纳主体不一致,04_税务资料/应交税费明细表_分主体.csv；04_税务资料/个人所得税申报缴纳表.csv,分主体税费归属核对：申报主体与核算主体一致性,需人工判断,分主体比对 + 意识到合并会掩盖归属问题
H05,T3,比率与结构,存货与成本,"少转主营业务成本：全年按预算成本率结转，Q4 实际成本上升未调整，少转 38,000,000，Q4 毛利率比前三季高 6.8 个百分点",38000000,营业成本、存货,准确、计价,错报,高,需调整,凭证摘要写『按预算成本结转』，是**正常业务语言**；单看每个月都不异常，只有把四个季度的毛利率画成趋势线才看出突变,需要主动做毛利率趋势分析，并知道白酒行业毛利率高度稳定 —— Q4 跳升 6.8pct 在行业内几乎不可能自然发生,① 按季度算综合毛利率与分产品毛利率 → ② 识别 Q4 异常上升 → ③ 用产销量 × 单位成本倒推应有成本 → ④ 与账面结转额比对，求差额,02_业务资料/销售明细_分产品分渠道分地区.csv；02_业务资料/存货收发存明细表.csv；01_账务资料/记账凭证_2025年度明细.csv,分析性程序：毛利率趋势 + 成本倒推（产销量 × 单位成本）,margin_trend,趋势分析 + 行业常识判断异常
H06,T3,比率与结构,存货与成本,"存货跌价准备未计提：周转天数由 210 天升至 340 天，春酿系列滞销，应补提跌价准备 9,600,000",9600000,存货、资产减值损失,计价与分摊,错报,高,需调整,资料包里**没有**『存货跌价测试表』（管理层没做）；信号只存在于收发存明细的期初期末余额与销售数量之间,这不是『翻表发现数字矛盾』，而是**发现该有的表没有**，并用周转率异常反推该提减值,① 用期初/期末存货与营业成本算周转天数 → ② 与上期比对，识别显著上升 → ③ 按库龄与售价测算可变现净值 → ④ 计算应提跌价准备,02_业务资料/存货收发存明细表.csv；02_业务资料/销售明细_分产品分渠道分地区.csv,存货周转分析 + 减值迹象识别 + 独立测算可变现净值,需人工判断,由缺失证据反推 + 周转率分析
H07,T2,跨表勾稽,存货与成本,"暂估应付账款不完整：期末已验收入库但发票未到的采购 3,100,000 未暂估入账，存货与应付账款同时少计",3100000,存货、应付账款,完整性,错报,低,需调整,『货到票未到』在年末是常态，入库单上『对应发票』栏为空不会引起注意；且金额低于重要性水平，需与 H01 合并评价,需要把《存货入库明细》逐笔与《采购发票登记簿》匹配，找出**没有对应发票也未暂估**的入库；单看任一张表都看不出问题,① 取存货入库明细本期全部入库 → ② 逐笔匹配采购发票登记簿 → ③ 筛出无发票且未做暂估的入库 → ④ 按采购合同价暂估应付账款,02_业务资料/存货入库明细表.csv；02_业务资料/采购发票登记簿.csv,采购截止测试：年末货到票未到的暂估完整性,需人工判断,逐笔匹配 + 完整性判断
H08,T3,比率与结构,费用与负债,"12 月市场推广费未计提：全年销售费用率由上年 7.50% 降至 6.96%，而收入增长 12%，少计费用 20,000,000",7400000,销售费用、其他应付款,完整性,错报,中,需调整,凭证与明细都没有异常行；异常是**两个比率同时朝不合逻辑的方向走** （收入涨、费用率反降）,需要同时看收入与费用两个维度并知道它们应当同向变动,① 算销售费用率同比变化（7.50% → 6.96%）→ ② 结合收入增速 12% 判断是否异常 → ③ 检查 12 月费用计提完整性 → ④ 与次年 1 月实际付款比对,02_业务资料/期间费用明细表.csv；01_账务资料/记账凭证_2025年度明细.csv,费用截止测试 + 销售费用率分析,需人工判断,双维度联动分析
H09,T4,准则与行业知识,收入与应收,"售后回购实质为融资：与经销商签订回购协议，销售 120,000,000 元按收入确认，实为以存货质押取得借款",120000000,营业收入、营业成本、存货、短期借款,发生、分类,错报,高,需调整,账务处理与普通销售**完全一致**，出库、开票、收款单据齐全；唯一线索写在《重大合同台账》的『关键条款』里 —— 一行字的回购约定,必须逐份读合同关键条款，并用『控制权是否转移』判断经济实质；账、单、票全齐会让人放松警惕,① 通读重大合同台账的关键条款 → ② 识别回购/保底条款 → ③ 按实质重于形式判断是否满足收入确认条件 → ④ 冲回收入，确认金融负债,02_业务资料/重大销售与采购合同台账.csv；02_业务资料/销售明细_分产品分渠道分地区.csv,收入确认控制权转移测试 + 合同条款实质性分析,需人工判断,研读合同条款 + 实质重于形式判断
H10,T4,准则与行业知识,收入与应收,"代理业务按总额法确认收入：代销 180,000,000 元按总额确认，应为净额法，虚增收入与成本各 180,000,000",180000000,营业收入、营业成本,分类、准确性,错报,中,需调整,毛利率虽低但为正，看起来是一笔『薄利的大生意』，完全合理；线索在合同标题『代理销售协议』与结算条款（按佣金结算）,需要判断主要责任人 vs 代理人，涉及准则第五章的指标应用；并意识到总额法会同时虚增收入成本（毛利率不变）,① 检索标题含『代理/代销/居间』的合同 → ② 检查结算方式（全额还是佣金）→ ③ 判断主要责任人身份 → ④ 按净额法重述,02_业务资料/重大销售与采购合同台账.csv；02_业务资料/销售明细_分产品分渠道分地区.csv,收入确认总额法/净额法判断（主要责任人 vs 代理人）,需人工判断,准则条款应用
