日期,摘要,借方(收款),贷方(付款),银行对账单余额,内部标记
2025-02-28,直销收入-天酿-国内（收现）,"720,000,000.00",,"3,579,800,000.00",
2025-04-30,购建固定资产支付现金,,"1,196,000,000.00","2,383,800,000.00",
2025-05-31,直销收入-春酿-国内,"246,000,000.00",,"2,629,800,000.00",
2025-07-31,其他应收款-往来款,,"25,000,000.00","2,604,800,000.00",
2025-07-31,购买理财产品,,"300,000,000.00","2,304,800,000.00",
2025-08-31,直销收入-春酿-国外,"40,000,000.00",,"2,344,800,000.00",
2025-10-31,收黔岭销售货款,"700,000,000.00",,"3,044,800,000.00",
2025-10-31,支付品牌广告制作费,,"15,000,000.00","3,029,800,000.00",
2025-11-30,酒糟及废旧物资销售,"13,400,000.00",,"3,043,200,000.00",
2025-11-30,支付黔岭包装货款,,"190,000,000.00","2,853,200,000.00",
2025-12-31,预收经销商货款,"520,000,000.00",,"3,373,200,000.00",
2025-12-31,采购原辅料,,"402,000,000.00","2,971,200,000.00",
2025-12-31,生产制造费用（水电燃气）,,"112,000,000.00","2,859,200,000.00",
2025-12-31,其他业务成本,,"8,000,000.00","2,851,200,000.00",
2025-12-31,实际支付职工薪酬,,"250,000,000.00","2,601,200,000.00",
2025-12-31,销售费用（除薪酬外）,,"69,000,000.00","2,532,200,000.00",
2025-12-31,管理费用（除薪酬外）,,"67,000,000.00","2,465,200,000.00",
2025-12-31,研发费用（除薪酬外）,,"34,000,000.00","2,431,200,000.00",
2025-12-31,利息收入,"58,000,000.00",,"2,489,200,000.00",
2025-12-31,政府补助（与收益相关：稳岗补贴）,"21,000,000.00",,"2,510,200,000.00",
2025-12-31,收到技改专项补助,"30,000,000.00",,"2,540,200,000.00",
2025-12-31,理财产品投资收益,"18,000,000.00",,"2,558,200,000.00",
2025-12-31,收到黔岭销售分红,"80,000,000.00",,"2,638,200,000.00",
2025-12-31,营业外收入-罚款及违约金,"3,200,000.00",,"2,641,400,000.00",
2025-12-31,营业外支出-对外捐赠,,"8,600,000.00","2,632,800,000.00",
2025-12-31,缴纳消费税及附加,,"460,000,000.00","2,172,800,000.00",
2025-12-31,缴纳企业所得税,,"34,000,000.00","2,138,800,000.00",
2025-12-31,支付其他应付款项,,"240,000,000.00","1,898,800,000.00",
2025-12-31,账户管理手续费,,"320,000.00","1,898,480,000.00",银行已记、企业未记
2025-12-31,第四季度存款利息,"1,860,000.00",,"1,900,340,000.00",银行已记、企业未记
