会计主体,季度,产品,渠道,地区,客户,数量(万瓶),确认收入金额,出库单号,出库日期,客户签收日期,记账日期,合同编号
黔岭酒业股份有限公司,Q1,黔岭·天酿,直销,国内,外部经销商（汇总）,360000.00,180000000.00,CK5000001,2025-03-24,2025-03-28,2025-03-31,XS-2025-002
黔岭酒业股份有限公司,Q2,黔岭·天酿,直销,国内,外部经销商（汇总）,420000.00,210000000.00,CK5000021,2025-06-23,2025-06-27,2025-06-30,XS-2025-002
黔岭酒业股份有限公司,Q3,黔岭·天酿,直销,国内,外部经销商（汇总）,390000.00,195000000.00,CK5000041,2025-09-24,2025-09-28,2025-09-30,XS-2025-002
黔岭酒业股份有限公司,Q4,黔岭·天酿,直销,国内,外部经销商（汇总）,470000.00,235000000.00,CK5000061,2025-12-24,2025-12-28,2025-12-31,XS-2025-002
黔岭酒业股份有限公司,Q1,基酒（内部）,内部销售,国内,黔岭销售有限公司,500000.00,250000000.00,CK5000002,2025-03-26,2025-03-29,2025-03-31,XS-2025-003
黔岭酒业股份有限公司,Q2,基酒（内部）,内部销售,国内,黔岭销售有限公司,600000.00,300000000.00,CK5000022,2025-06-25,2025-06-28,2025-06-30,XS-2025-003
黔岭酒业股份有限公司,Q3,基酒（内部）,内部销售,国内,黔岭销售有限公司,560000.00,280000000.00,CK5000042,2025-09-25,2025-09-28,2025-09-30,XS-2025-003
黔岭酒业股份有限公司,Q4,基酒（内部）,内部销售,国内,黔岭销售有限公司,740000.00,370000000.00,CK5000062,2025-12-25,2025-12-29,2025-12-31,XS-2025-003
黔岭销售有限公司,Q1,黔岭·天酿,批发代理,国内,华东区经销商（汇总）,880000.00,440000000.00,CK5000003,2025-03-22,2025-03-27,2025-03-31,XS-2025-005
黔岭销售有限公司,Q1,黔岭·天酿,代理销售,国内,华东区经销商（汇总）,360000.00,180000000.00,CK5000004,2025-03-22,2025-03-27,2025-03-31,XS-2025-009
黔岭销售有限公司,Q2,黔岭·天酿,批发代理,国内,华北区经销商（汇总）,1360000.00,680000000.00,CK5000023,2025-06-21,2025-06-26,2025-06-30,XS-2025-006
黔岭销售有限公司,Q3,黔岭·天酿,批发代理,国内,华南区经销商（汇总）,1400000.00,700000000.00,CK5000043,2025-09-22,2025-09-27,2025-09-30,XS-2025-007
黔岭销售有限公司,Q4,黔岭·天酿,批发代理,国内,出口经销商（汇总）,1760000.00,880000000.00,CK5000063,2025-12-20,2025-12-26,2025-12-31,XS-2025-008
黔岭酒业股份有限公司,Q4,黔岭·天酿,批发代理,国内,华东区经销商（汇总）,240000.00,120000000.00,CK5000055,2025-10-28,2025-10-31,2025-10-31,XS-2025-011
黔岭销售有限公司,Q4,黔岭·春酿,批发代理,国内,华南区经销商（汇总）,1040.00,520000.00,CK5000098,2026-01-05,2026-01-08,2025-12-26,XS-2025-012
黔岭销售有限公司,Q4,黔岭·春酿,批发代理,国内,华南区经销商（汇总）,760.00,380000.00,CK5000099,2026-01-05,2026-01-08,2025-12-28,XS-2025-012
黔岭销售有限公司,Q4,黔岭·春酿,批发代理,国内,华南区经销商（汇总）,680.00,340000.00,CK5000100,2026-01-06,2026-01-09,2025-12-30,XS-2025-012
黔岭酒业股份有限公司,Q4,酒糟及废旧物资,其他,国内,外部单位,—,12340000.00,CK5000090,2025-12-29,2025-12-31,2025-12-31,XS-2025-013
