编号,数据集归属,分组,问题描述,涉及金额,影响报表项目,影响认定,性质,严重程度,处理方式,应实施程序,证据文件,检出规则
F1,两组共有,收入与应收,收入跨期（提前确认）：华东区经销收入于 2025-12-30 入账，出库单/签收单日期为 2026-01-05,66000000,营业收入、应收账款、合同负债,截止（期间归属）,错报,高,需调整,收入截止测试：比较记账日期与出库单/签收单日期,02_业务资料/销售明细_分产品分渠道分地区.csv；01_账务资料/记账凭证_2025年度明细.csv,sales_cutoff
F2,两组共有,关联方,关联方未披露：向黔岭物流支付运输费，其法定代表人为本公司董事之弟,42000000,销售费用、关联方及其交易附注,披露完整性,披露不充分,高,仅披露,关联方识别：股权穿透 + 关键管理人员近亲属核查,02_业务资料/主要供应商及付款流水.csv；03_治理资料/组织架构与关键管理人员.md,related_party
F3,两组共有,收入与应收,"坏账准备计提不足：1–2 年账龄 8,000,000 未按 30% 计提",2400000,应收账款、信用减值损失,计价与分摊,错报,中,需调整,账龄分析 + 坏账准备重算,02_业务资料/应收账款账龄明细表_管理层编制.csv,aging_recompute
F4,两组共有,存货与成本,"存货跌价准备计提不足：春酿库存商品应提 16,000,000，账面仅提 4,000,000",12000000,存货、资产减值损失,计价与分摊,错报,高,需调整,存货跌价测试复核：可变现净值与成本孰低,02_业务资料/存货跌价测试表_管理层编制.csv；02_业务资料/存货收发存明细表.csv,nrv_test
F5,两组共有,固定资产与在建工程,固定资产折旧漏提：2025-06-30 转固的高精度检测设备漏提 7–12 月折旧,3325000,管理费用、固定资产,计价与分摊,错报,中,需调整,折旧重算（直线法，当月增加当月不提）,02_业务资料/固定资产及折旧明细表.csv,dep_recompute
F6,两组共有,费用与负债,"费用资本化错误：品牌广告制作费 15,000,000 计入长期待摊费用",15000000,销售费用、长期待摊费用,分类,错报,中,需调整,资产确认条件测试：广告费是否带来未来经济利益,02_业务资料/无形资产及长期待摊费用明细表.csv,asset_condition
F7,两组共有,关联方,"资金占用：其他应收款–黔岭物流 25,000,000 长期挂账、无商业实质",25000000,其他应收款、信用减值损失,存在/计价,错报,高,需调整,其他应收款性质核查：有无协议、是否计息、账龄,01_账务资料/记账凭证_2025年度明细.csv；03_治理资料/董事会决议汇编_2025.md,related_party
F8,两组共有,税务与补助,"补助分类错误：与资产相关的技改专项补助 30,000,000 全额计入当期其他收益",30000000,其他收益、递延收益,分类,错报,高,需调整,补助分类测试：与资产相关 / 与收益相关,06_其他资料/政府补助文件摘要.csv,gov_grant_class
F9,两组共有,银行与资金,银行未达账项 5 笔，管理层未编制银行存款余额调节表,87540000,货币资金,存在/完整性,内控与程序,中,无需调整（记录内控缺陷）,编制银行存款余额调节表,05_银行资料/银行存款日记账_工商银行基本户_202512.csv；05_银行资料/银行对账单_工商银行基本户_202512.csv,bank_recon
F10,两组共有,费用与负债,"薪酬跨期：2025 年 12 月奖金 18,000,000 已批准未计提",18000000,管理费用、应付职工薪酬,完整性,错报,高,需调整,薪酬截止测试 + 期后事项调整事项判断,03_治理资料/董事会决议汇编_2025.md；06_其他资料/资产负债表日后事项说明.md,salary_cutoff
E01,实验组新增,收入与应收,"应收账款虚增：与关联商贸企业做对开交易 80,000,000，无实物流转、无出库单与签收单",80000000,应收账款、营业收入,存在/发生,舞弊,高,需调整,收入真实性与实物流转测试：穿透出库单、签收单、物流单据,02_业务资料/销售明细_分产品分渠道分地区.csv；01_账务资料/记账凭证_2025年度明细.csv,goods_flow
E02,实验组新增,费用与负债,"隐瞒费用：收到供应商返还款 36,000,000 挂账其他应付款，未冲减费用",36000000,其他应付款、营业成本,完整性,舞弊,高,需调整,其他应付款性质核查 + 期后事项（返还款是否冲减成本）,02_业务资料/主要供应商及付款流水.csv；01_账务资料/记账凭证_2025年度明细.csv,ap_lookup
E03,实验组新增,存货与成本,"成本结转不实：少转主营业务成本 62,000,000，虚增毛利",62000000,营业成本、存货,准确/计价,错报,高,需调整,毛利率分析性程序 + 成本倒推（产销量 × 单位成本）,02_业务资料/存货收发存明细表.csv；02_业务资料/销售明细_分产品分渠道分地区.csv,cogs_recompute
E04,实验组新增,关联方,"关联方资金占用：借予控股股东 45,000,000，无协议、不计息",45000000,其他应收款、关联方附注,存在/披露,错报,高,需调整,其他应收款明细检查 + 关联方穿透,02_业务资料/其他应收款明细表.csv；03_治理资料/组织架构与关键管理人员.md,related_party
E05,实验组新增,费用与负债,"无票费用（白条入账）：8,600,000 元支出以内部单据列账，无发票",8600000,管理费用,准确/可抵扣性,内控与程序,中,需调整,费用凭证抽查：发票与业务实质,01_账务资料/记账凭证_2025年度明细.csv；02_业务资料/主要供应商及付款流水.csv,voucher_review
E06,实验组新增,存货与成本,"存货盘亏未处理：盘亏 14,000,000 挂账其他流动资产，未计入损益",14000000,其他流动资产、存货、管理费用,存在/计价,错报,中,需调整,存货监盘：账面数量与实盘数量核对,02_业务资料/存货盘点表.csv；01_账务资料/记账凭证_2025年度明细.csv,inventory_count
E07,实验组新增,收入与应收,"票据置换应收账款：将 120,000,000 逾期应收账款置换为商业承兑汇票，规避账龄与坏账计提",6000000,应收票据、应收账款、信用减值损失,分类/计价,错报,高,需调整,应收票据明细检查 + 置换交易实质判断（是否改善账龄）,02_业务资料/应收票据明细表.csv；02_业务资料/应收账款账龄明细表_管理层编制.csv,note_reclass
E08,实验组新增,税务与补助,"与资产相关政府补助（第二笔）20,000,000 全额计入当期其他收益",20000000,其他收益、递延收益,分类,错报,中,需调整,补助分类测试,06_其他资料/政府补助文件摘要.csv,gov_grant_class
E09,实验组新增,收入与应收,"收入完整性：期末前已发货并签收的 48,000,000 未确认收入",48000000,营业收入、应收账款,完整性,错报,高,需调整,收入截止测试：出库单/签收单与收入登记核对（双向）,02_业务资料/销售明细_分产品分渠道分地区.csv,sales_cutoff
E10,实验组新增,收入与应收,"期后退回未调整：2026-02 退回 2025-12-30 发出的货物 12,000,000",12000000,营业收入、应收账款,截止,错报,中,需调整,期后事项检查：销售退回、退货单,06_其他资料/资产负债表日后事项说明.md；02_业务资料/期后销售退回清单.csv,subsequent_return
