资产编号,会计主体,资产名称,资产类别,使用部门,转固日期,原值,折旧年限(年),残值率(%),期初累计折旧,账面本期折旧,期末累计折旧,应有本期折旧,应计折旧总额,核对结果
FA-P-001,黔岭酒业股份有限公司,酿酒车间及窖池,房屋及建筑物,生产,2012-12-31,"1,080,000,000.00",40,5,"307,800,000.00","25,650,000.00","333,450,000.00","25,650,000.00","1,026,000,000.00",核对一致
FA-P-002,黔岭酒业股份有限公司,灌装生产线,机器设备,生产,2018-06-30,"620,000,000.00",12,5,"319,041,666.64","49,083,333.33","368,124,999.97","49,083,333.33","589,000,000.00",核对一致
FA-P-003,黔岭酒业股份有限公司,生产辅助设备,机器设备,生产,2020-01-01,"138,000,000.00",10,5,"64,457,500.00","13,110,000.00","77,567,500.00","13,110,000.00","131,100,000.00",核对一致
FA-P-004,黔岭酒业股份有限公司,制曲及储酒设备,机器设备,生产,2021-07-01,"82,000,000.00",8,5,"33,269,791.67","9,737,500.00","43,007,291.67","9,737,500.00","77,900,000.00",核对一致
FA-P-005,黔岭酒业股份有限公司,办公楼及行政用房,房屋及建筑物,管理,2015-12-31,"1,060,000,000.00",40,5,"226,575,000.00","25,175,000.00","251,750,000.00","25,175,000.00","1,007,000,000.00",核对一致
FA-P-006,黔岭酒业股份有限公司,行政车辆,运输设备,管理,2019-06-30,"96,000,000.00",8,5,"62,700,000.00","11,400,000.00","74,100,000.00","11,400,000.00","91,200,000.00",核对一致
FA-P-007,黔岭酒业股份有限公司,办公及IT设备,电子设备,管理,2022-01-01,"38,000,000.00",5,5,"21,058,333.33","7,220,000.00","28,278,333.33","7,220,000.00","36,100,000.00",核对一致
FA-P-008,黔岭酒业股份有限公司,高精度酒质检测设备,机器设备,管理,2025-06-30,"70,000,000.00",10,5,0.00,0.00,0.00,"3,325,000.00","66,500,000.00","★ 账面未计提折旧，应有 3,325,000.00"
FA-S1-001,黔岭销售有限公司,销售办公用房,房屋及建筑物,销售,2015-01-01,"62,000,000.00",10,5,"58,409,166.67","490,833.33","58,900,000.00","490,833.33","58,900,000.00",核对一致
FA-S2-001,黔岭酒类包装有限公司,包材生产线,机器设备,生产,2019-01-01,"220,000,000.00",8,5,"154,572,916.67","26,125,000.00","180,697,916.67","26,125,000.00","209,000,000.00",核对一致
