日期,摘要,借方(收款),贷方(付款),银行对账单余额
2025-03-31,Q1 批发销售收入（含代理业务）,440000000.00,,1120000000.00
2025-06-30,Q2 批发销售收入,680000000.00,,1800000000.00
2025-06-30,向母公司分配现金股利,,80000000.00,1720000000.00
2025-09-30,Q3 批发销售收入,700000000.00,,2420000000.00
2025-12-31,缴纳个人所得税（含母公司代扣部分）,,2300000.00,2417700000.00
2025-12-31,Q4 批发销售收入,760000000.00,,3177700000.00
2025-12-31,支付母公司货款,,850000000.00,2327700000.00
2025-12-31,支付职工薪酬,,186000000.00,2141700000.00
2025-12-31,计提管理费用,,52000000.00,2089700000.00
2025-12-31,计提销售费用（市场营销）,,46000000.00,2043700000.00
2025-12-31,缴纳消费税及附加,,86000000.00,1957700000.00
2025-12-31,缴纳企业所得税,,112000000.00,1845700000.00
2025-12-31,账户管理手续费,,286000.00,1845414000.00
2025-12-31,第四季度存款利息,1640000.00,,1847054000.00
