凭证号,主体代码,会计主体,记账日期,摘要,科目编码,科目名称,借方金额,贷方金额,客户,供应商,关联方,产品,渠道,地区,税种,资产类别,账龄,使用部门,单据日期,补助类型,现金流项目,内部往来标记
PZ00001,P,黔岭酒业股份有限公司,2025-02-28,直销收入-天酿-国内（收现）,1002,银行存款,720000000,,,,,黔岭·天酿,直销,国内,,,,,,,销售商品、提供劳务收到的现金,
PZ00001,P,黔岭酒业股份有限公司,2025-02-28,直销收入-天酿-国内（收现）,6001,主营业务收入,,720000000,,,,黔岭·天酿,直销,国内,,,,,,,销售商品、提供劳务收到的现金,
PZ00002,P,黔岭酒业股份有限公司,2025-06-30,直销收入-天酿-国内（赊销）,1122,应收账款,60000000,,外部经销商,,,黔岭·天酿,直销,国内,,,1年以内（含1年）,,,,,
PZ00002,P,黔岭酒业股份有限公司,2025-06-30,直销收入-天酿-国内（赊销）,6001,主营业务收入,,60000000,外部经销商,,,黔岭·天酿,直销,国内,,,1年以内（含1年）,,,,,
PZ00003,P,黔岭酒业股份有限公司,2025-05-31,直销收入-春酿-国内,1002,银行存款,246000000,,,,,黔岭·春酿,直销,国内,,,,,,,销售商品、提供劳务收到的现金,
PZ00003,P,黔岭酒业股份有限公司,2025-05-31,直销收入-春酿-国内,6001,主营业务收入,,246000000,,,,黔岭·春酿,直销,国内,,,,,,,销售商品、提供劳务收到的现金,
PZ00004,P,黔岭酒业股份有限公司,2025-08-31,直销收入-春酿-国外,1002,银行存款,40000000,,,,,黔岭·春酿,直销,国外,,,,,,,销售商品、提供劳务收到的现金,
PZ00004,P,黔岭酒业股份有限公司,2025-08-31,直销收入-春酿-国外,6001,主营业务收入,,40000000,,,,黔岭·春酿,直销,国外,,,,,,,销售商品、提供劳务收到的现金,
PZ00005,P,黔岭酒业股份有限公司,2025-09-30,内部销售基酒给黔岭销售,1122,应收账款,1000000000,,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,,,,,母公司对黔岭销售应收账款
PZ00005,P,黔岭酒业股份有限公司,2025-09-30,内部销售基酒给黔岭销售,6001,主营业务收入,,1000000000,,,黔岭销售有限公司,基酒（内部）,内部销售,国内,,,,,,,,母公司对黔岭销售应收账款
PZ00006,P,黔岭酒业股份有限公司,2025-10-31,收黔岭销售货款,1002,银行存款,700000000,,,,黔岭销售有限公司,,,,,,,,,,销售商品、提供劳务收到的现金,母公司对黔岭销售应收账款
PZ00006,P,黔岭酒业股份有限公司,2025-10-31,收黔岭销售货款,1122,应收账款,,700000000,,,黔岭销售有限公司,,,,,,,,,,销售商品、提供劳务收到的现金,母公司对黔岭销售应收账款
PZ00007,P,黔岭酒业股份有限公司,2025-11-30,酒糟及废旧物资销售,1002,银行存款,13400000,,,,,其他业务,其他,国内,,,,,,,销售商品、提供劳务收到的现金,
PZ00007,P,黔岭酒业股份有限公司,2025-11-30,酒糟及废旧物资销售,6051,其他业务收入,,13400000,,,,其他业务,其他,国内,,,,,,,销售商品、提供劳务收到的现金,
