合同编号,类型,对方名称,签订日期,合同金额,履行期限,关键条款
XS-2025-002,销售,外部经销商（汇总）,2025-01-08,820000000.00,2025-01-01 至 2025-12-31,控制权以客户签收为准；月结30天
XS-2025-003,销售,黔岭销售有限公司,2025-01-01,1200000000.00,2025-01-01 至 2025-12-31,内部调拨价；月结60天
XS-2025-005,销售,华东区经销商（汇总）,2025-01-15,620000000.00,2025-01-01 至 2025-12-31,先款后货；月结30天
XS-2025-006,销售,华北区经销商（汇总）,2025-01-15,700000000.00,2025-01-01 至 2025-12-31,先款后货
XS-2025-007,销售,华南区经销商（汇总）,2025-01-15,720000000.00,2025-01-01 至 2025-12-31,先款后货
XS-2025-008,销售,出口经销商（汇总）,2025-01-15,880000000.00,2025-01-01 至 2025-12-31,先款后货；FOB 价
XS-2025-009,代理销售,华东区经销商（汇总）,2025-01-15,180000000.00,2025-01-01 至 2025-12-31,本公司受托代为销售指定产品，按销售额的 3% 收取代理服务费；产品定价、客户选择由委托方决定，滞销商品退回委托方
XS-2025-011,销售,华东区经销商（汇总）,2025-10-20,120000000.00,2025-10-31 交割，2026-10-31 回购,本公司于交割后 12 个月内按本金加 6% 固定回报回购全部货物；期间货物所有权凭证由对方持有，本公司承担价格波动风险
CG-2025-011,采购,红缨子高粱种植合作社,2025-02-20,480000000.00,2025-03-01 至 2026-02-28,货到付款
CG-2025-018,采购,黔岭酒类包装有限公司,2025-01-01,300000000.00,2025-01-01 至 2025-12-31,市场价；月结60天
ZL-2025-001,租赁,贵阳临港仓储有限公司,2024-12-20,27000000.00,2025-01-01 至 2029-12-31,"年租金 5,400,000 元，按年支付，租期 5 年，无购买选择权"
ZL-2025-002,租赁,黔岭控股集团（办公楼）,2024-12-20,18000000.00,2025-01-01 至 2029-12-31,"年租金 3,600,000 元，按年支付，租期 5 年，无购买选择权"
