日期,摘要,借方(收款),贷方(付款),银行对账单余额,内部标记
2025-02-28,直销收入-天酿-国内（收现）,"720,000,000.00",,"3,579,800,000.00",
2025-04-30,购建固定资产支付现金,,"1,196,000,000.00","2,383,800,000.00",
2025-05-31,直销收入-春酿-国内,"246,000,000.00",,"2,629,800,000.00",
2025-05-31,借予控股股东款项（无协议、不计息）,,"45,000,000.00","2,584,800,000.00",
2025-07-31,其他应收款-往来款,,"25,000,000.00","2,559,800,000.00",
2025-07-31,购买理财产品,,"300,000,000.00","2,259,800,000.00",
2025-08-15,包装生产线技改工程支出,,"186,000,000.00","2,073,800,000.00",
2025-08-31,直销收入-春酿-国外,"40,000,000.00",,"2,113,800,000.00",
2025-09-30,支付管理咨询协调费（无发票）,,"8,600,000.00","2,105,200,000.00",
2025-10-31,收黔岭销售货款,"700,000,000.00",,"2,805,200,000.00",
2025-10-31,支付品牌广告制作费,,"15,000,000.00","2,790,200,000.00",
2025-11-30,酒糟及废旧物资销售,"13,400,000.00",,"2,803,600,000.00",
2025-11-30,支付黔岭包装货款,,"190,000,000.00","2,613,600,000.00",
2025-11-30,收到供应商年度返还款（暂挂其他应付款）,"36,000,000.00",,"2,649,600,000.00",
2025-11-30,收到设备购置专项补助,"20,000,000.00",,"2,669,600,000.00",
2025-12-30,支付 2026 年 1 月管理咨询服务费（提前列支）,,"7,200,000.00","2,662,400,000.00",
2025-12-31,预收经销商货款,"520,000,000.00",,"3,182,400,000.00",
2025-12-31,采购原辅料,,"402,000,000.00","2,780,400,000.00",
2025-12-31,生产制造费用（水电燃气）,,"112,000,000.00","2,668,400,000.00",
2025-12-31,其他业务成本,,"8,000,000.00","2,660,400,000.00",
2025-12-31,实际支付职工薪酬,,"250,000,000.00","2,410,400,000.00",
2025-12-31,销售费用（除薪酬外）,,"69,000,000.00","2,341,400,000.00",
2025-12-31,管理费用（除薪酬外）,,"67,000,000.00","2,274,400,000.00",
2025-12-31,研发费用（除薪酬外）,,"34,000,000.00","2,240,400,000.00",
2025-12-31,利息收入,"58,000,000.00",,"2,298,400,000.00",
2025-12-31,政府补助（与收益相关：稳岗补贴）,"21,000,000.00",,"2,319,400,000.00",
2025-12-31,收到技改专项补助,"30,000,000.00",,"2,349,400,000.00",
2025-12-31,理财产品投资收益,"18,000,000.00",,"2,367,400,000.00",
2025-12-31,收到黔岭销售分红,"80,000,000.00",,"2,447,400,000.00",
2025-12-31,营业外收入-罚款及违约金,"3,200,000.00",,"2,450,600,000.00",
2025-12-31,营业外支出-对外捐赠,,"8,600,000.00","2,442,000,000.00",
2025-12-31,缴纳消费税及附加,,"460,000,000.00","1,982,000,000.00",
2025-12-31,缴纳企业所得税,,"34,000,000.00","1,948,000,000.00",
2025-12-31,支付其他应付款项,,"240,000,000.00","1,708,000,000.00",
2025-12-31,账户管理手续费,,"320,000.00","1,707,680,000.00",银行已记、企业未记
2025-12-31,第四季度存款利息,"1,860,000.00",,"1,709,540,000.00",银行已记、企业未记
