序号,主体,日期,摘要,科目编码,科目名称,借方,贷方,现金流项目,产品,渠道,地区,关联方,税种,资产类别,账龄
1,黔岭酒业股份有限公司,2025-02-28,直销收入-天酿-国内（收现）,1002,银行存款,720000000,,销售商品、提供劳务收到的现金,黔岭·天酿,直销,国内,,,,
1,黔岭酒业股份有限公司,2025-02-28,直销收入-天酿-国内（收现）,6001,主营业务收入,,720000000,销售商品、提供劳务收到的现金,黔岭·天酿,直销,国内,,,,
2,黔岭酒业股份有限公司,2025-06-30,直销收入-天酿-国内（赊销）,1122,应收账款,60000000,,,黔岭·天酿,直销,国内,,,,1年以内（含1年）
2,黔岭酒业股份有限公司,2025-06-30,直销收入-天酿-国内（赊销）,6001,主营业务收入,,60000000,,黔岭·天酿,直销,国内,,,,1年以内（含1年）
3,黔岭酒业股份有限公司,2025-05-31,直销收入-春酿-国内,1002,银行存款,246000000,,销售商品、提供劳务收到的现金,黔岭·春酿,直销,国内,,,,
3,黔岭酒业股份有限公司,2025-05-31,直销收入-春酿-国内,6001,主营业务收入,,246000000,销售商品、提供劳务收到的现金,黔岭·春酿,直销,国内,,,,
4,黔岭酒业股份有限公司,2025-08-31,直销收入-春酿-国外,1002,银行存款,40000000,,销售商品、提供劳务收到的现金,黔岭·春酿,直销,国外,,,,
4,黔岭酒业股份有限公司,2025-08-31,直销收入-春酿-国外,6001,主营业务收入,,40000000,销售商品、提供劳务收到的现金,黔岭·春酿,直销,国外,,,,
5,黔岭酒业股份有限公司,2025-09-30,内部销售基酒给黔岭销售,1122,应收账款,1000000000,,,基酒（内部）,内部销售,国内,黔岭销售有限公司,,,
5,黔岭酒业股份有限公司,2025-09-30,内部销售基酒给黔岭销售,6001,主营业务收入,,1000000000,,基酒（内部）,内部销售,国内,黔岭销售有限公司,,,
6,黔岭酒业股份有限公司,2025-10-31,收黔岭销售货款,1002,银行存款,700000000,,销售商品、提供劳务收到的现金,,,,黔岭销售有限公司,,,
6,黔岭酒业股份有限公司,2025-10-31,收黔岭销售货款,1122,应收账款,,700000000,销售商品、提供劳务收到的现金,,,,黔岭销售有限公司,,,
7,黔岭酒业股份有限公司,2025-11-30,酒糟及废旧物资销售,1002,银行存款,13400000,,销售商品、提供劳务收到的现金,其他业务,其他,国内,,,,
7,黔岭酒业股份有限公司,2025-11-30,酒糟及废旧物资销售,6051,其他业务收入,,13400000,销售商品、提供劳务收到的现金,其他业务,其他,国内,,,,
8,黔岭酒业股份有限公司,2025-12-31,预收经销商货款,1002,银行存款,520000000,,销售商品、提供劳务收到的现金,,批发代理,,,,,
8,黔岭酒业股份有限公司,2025-12-31,预收经销商货款,2204,合同负债,,520000000,销售商品、提供劳务收到的现金,,批发代理,,,,,
9,黔岭酒业股份有限公司,2025-12-31,采购原辅料,1401,原材料,402000000,,购买商品、接受劳务支付的现金,,,,,,,
9,黔岭酒业股份有限公司,2025-12-31,采购原辅料,1002,银行存款,,402000000,购买商品、接受劳务支付的现金,,,,,,,
10,黔岭酒业股份有限公司,2025-12-31,领用原辅料投入生产,1402,生产成本,402000000,,,,,,,,,
10,黔岭酒业股份有限公司,2025-12-31,领用原辅料投入生产,1401,原材料,,402000000,,,,,,,,
11,黔岭酒业股份有限公司,2025-12-31,生产制造费用（水电燃气）,1402,生产成本,112000000,,购买商品、接受劳务支付的现金,,,,,,,
11,黔岭酒业股份有限公司,2025-12-31,生产制造费用（水电燃气）,1002,银行存款,,112000000,购买商品、接受劳务支付的现金,,,,,,,
12,黔岭酒业股份有限公司,2025-12-31,生产用固定资产折旧,1402,生产成本,96000000,,,,,,,,机器设备,
12,黔岭酒业股份有限公司,2025-12-31,生产用固定资产折旧,1602,累计折旧,,96000000,,,,,,,机器设备,
13,黔岭酒业股份有限公司,2025-12-31,采购包装材料（关联方）,1401,原材料,260000000,,,,,,黔岭酒类包装有限公司,,,
13,黔岭酒业股份有限公司,2025-12-31,采购包装材料（关联方）,2202,应付账款,,260000000,,,,,黔岭酒类包装有限公司,,,
14,黔岭酒业股份有限公司,2025-11-30,支付黔岭包装货款,2202,应付账款,190000000,,购买商品、接受劳务支付的现金,,,,黔岭酒类包装有限公司,,,
14,黔岭酒业股份有限公司,2025-11-30,支付黔岭包装货款,1002,银行存款,,190000000,购买商品、接受劳务支付的现金,,,,黔岭酒类包装有限公司,,,
15,黔岭酒业股份有限公司,2025-12-31,完工产成品入库,1405,库存商品,978000000,,,,,,,,,
15,黔岭酒业股份有限公司,2025-12-31,完工产成品入库,1402,生产成本,,978000000,,,,,,,,
16,黔岭酒业股份有限公司,2025-12-31,结转主营业务成本,6401,主营业务成本,1142000000,,,,,,,,,
16,黔岭酒业股份有限公司,2025-12-31,结转主营业务成本,1405,库存商品,,1142000000,,,,,,,,
17,黔岭酒业股份有限公司,2025-12-31,其他业务成本,6402,其他业务成本,8000000,,购买商品、接受劳务支付的现金,,,,,,,
17,黔岭酒业股份有限公司,2025-12-31,其他业务成本,1002,银行存款,,8000000,购买商品、接受劳务支付的现金,,,,,,,
18,黔岭酒业股份有限公司,2025-12-31,计提生产人员薪酬,1402,生产成本,108000000,,,,,,,,,
18,黔岭酒业股份有限公司,2025-12-31,计提生产人员薪酬,2211,应付职工薪酬,,108000000,,,,,,,,
19,黔岭酒业股份有限公司,2025-12-31,计提销售人员薪酬,6601,销售费用,96000000,,,,,,,,,
19,黔岭酒业股份有限公司,2025-12-31,计提销售人员薪酬,2211,应付职工薪酬,,96000000,,,,,,,,
20,黔岭酒业股份有限公司,2025-12-31,计提管理人员薪酬,6602,管理费用,62000000,,,,,,,,,
20,黔岭酒业股份有限公司,2025-12-31,计提管理人员薪酬,2211,应付职工薪酬,,62000000,,,,,,,,
21,黔岭酒业股份有限公司,2025-12-31,计提研发人员薪酬,6603,研发费用,12000000,,,,,,,,,
21,黔岭酒业股份有限公司,2025-12-31,计提研发人员薪酬,2211,应付职工薪酬,,12000000,,,,,,,,
22,黔岭酒业股份有限公司,2025-12-31,实际支付职工薪酬,2211,应付职工薪酬,250000000,,支付给职工以及为职工支付的现金,,,,,,,
22,黔岭酒业股份有限公司,2025-12-31,实际支付职工薪酬,1002,银行存款,,250000000,支付给职工以及为职工支付的现金,,,,,,,
23,黔岭酒业股份有限公司,2025-12-31,税金及附加计提,6403,税金及附加,520000000,,,,,,,消费税及附加,,
23,黔岭酒业股份有限公司,2025-12-31,税金及附加计提,2221,应交税费,,520000000,,,,,,消费税及附加,,
24,黔岭酒业股份有限公司,2025-12-31,销售费用（除薪酬外）,6601,销售费用,84000000,,支付其他与经营活动有关的现金,,,,,,,
24,黔岭酒业股份有限公司,2025-12-31,销售费用（除薪酬外）,1002,银行存款,,84000000,支付其他与经营活动有关的现金,,,,,,,
25,黔岭酒业股份有限公司,2025-12-31,管理费用（除薪酬外）,6602,管理费用,85000000,,支付其他与经营活动有关的现金,,,,,,,
25,黔岭酒业股份有限公司,2025-12-31,管理费用（除薪酬外）,1002,银行存款,,85000000,支付其他与经营活动有关的现金,,,,,,,
26,黔岭酒业股份有限公司,2025-12-31,研发费用（除薪酬外）,6603,研发费用,34000000,,支付其他与经营活动有关的现金,,,,,,,
26,黔岭酒业股份有限公司,2025-12-31,研发费用（除薪酬外）,1002,银行存款,,34000000,支付其他与经营活动有关的现金,,,,,,,
27,黔岭酒业股份有限公司,2025-12-31,利息收入,1002,银行存款,58000000,,收到其他与经营活动有关的现金,,,,,,,
27,黔岭酒业股份有限公司,2025-12-31,利息收入,6604,财务费用,,58000000,收到其他与经营活动有关的现金,,,,,,,
28,黔岭酒业股份有限公司,2025-12-31,政府补助（与收益相关）,1002,银行存款,21000000,,收到其他与经营活动有关的现金,,,,,,,
28,黔岭酒业股份有限公司,2025-12-31,政府补助（与收益相关）,6117,其他收益,,21000000,收到其他与经营活动有关的现金,,,,,,,
29,黔岭酒业股份有限公司,2025-12-31,理财产品投资收益,1002,银行存款,18000000,,取得投资收益收到的现金,,,,,,,
29,黔岭酒业股份有限公司,2025-12-31,理财产品投资收益,6111,投资收益,,18000000,取得投资收益收到的现金,,,,,,,
30,黔岭酒业股份有限公司,2025-12-31,收到黔岭销售分红,1002,银行存款,80000000,,取得投资收益收到的现金,,,,黔岭销售有限公司,,,
30,黔岭酒业股份有限公司,2025-12-31,收到黔岭销售分红,6111,投资收益,,80000000,取得投资收益收到的现金,,,,黔岭销售有限公司,,,
31,黔岭酒业股份有限公司,2025-12-31,计提应收款项坏账准备,6701,信用减值损失,3000000,,,,,,,,,
31,黔岭酒业股份有限公司,2025-12-31,计提应收款项坏账准备,1231,坏账准备,,3000000,,,,,,,,
32,黔岭酒业股份有限公司,2025-12-31,计提存货跌价准备,6702,资产减值损失,4000000,,,,,,,,,
32,黔岭酒业股份有限公司,2025-12-31,计提存货跌价准备,1471,存货跌价准备,,4000000,,,,,,,,
33,黔岭酒业股份有限公司,2025-12-31,营业外收入-罚款及违约金,1002,银行存款,3200000,,收到其他与经营活动有关的现金,,,,,,,
33,黔岭酒业股份有限公司,2025-12-31,营业外收入-罚款及违约金,6301,营业外收入,,3200000,收到其他与经营活动有关的现金,,,,,,,
34,黔岭酒业股份有限公司,2025-12-31,营业外支出-对外捐赠,6711,营业外支出,8600000,,支付其他与经营活动有关的现金,,,,,,,
34,黔岭酒业股份有限公司,2025-12-31,营业外支出-对外捐赠,1002,银行存款,,8600000,支付其他与经营活动有关的现金,,,,,,,
35,黔岭酒业股份有限公司,2025-04-30,购建固定资产支付现金,1604,在建工程,1196000000,,购建固定资产、无形资产和其他长期资产支付的现金,,,,,,在建工程,
35,黔岭酒业股份有限公司,2025-04-30,购建固定资产支付现金,1002,银行存款,,1196000000,购建固定资产、无形资产和其他长期资产支付的现金,,,,,,在建工程,
36,黔岭酒业股份有限公司,2025-12-31,在建工程转固,1601,固定资产,70000000,,,,,,,,房屋及建筑物,
36,黔岭酒业股份有限公司,2025-12-31,在建工程转固,1604,在建工程,,70000000,,,,,,,房屋及建筑物,
37,黔岭酒业股份有限公司,2025-12-31,计提管理用固定资产折旧,6602,管理费用,50000000,,,,,,,,房屋及建筑物,
37,黔岭酒业股份有限公司,2025-12-31,计提管理用固定资产折旧,1602,累计折旧,,50000000,,,,,,,房屋及建筑物,
38,黔岭酒业股份有限公司,2025-12-31,无形资产摊销,6602,管理费用,16000000,,,,,,,,,
38,黔岭酒业股份有限公司,2025-12-31,无形资产摊销,1702,累计摊销,,16000000,,,,,,,,
39,黔岭酒业股份有限公司,2025-12-31,长期待摊费用摊销,6602,管理费用,7000000,,,,,,,,,
39,黔岭酒业股份有限公司,2025-12-31,长期待摊费用摊销,1801,长期待摊费用,,7000000,,,,,,,,
40,黔岭酒业股份有限公司,2025-07-31,购买理财产品,1101,交易性金融资产,300000000,,投资支付的现金,,,,,,,
40,黔岭酒业股份有限公司,2025-07-31,购买理财产品,1002,银行存款,,300000000,投资支付的现金,,,,,,,
41,黔岭酒业股份有限公司,2025-12-31,缴纳消费税及附加,2221,应交税费,460000000,,支付的各项税费,,,,,消费税及附加,,
41,黔岭酒业股份有限公司,2025-12-31,缴纳消费税及附加,1002,银行存款,,460000000,支付的各项税费,,,,,消费税及附加,,
42,黔岭酒业股份有限公司,2025-12-31,缴纳企业所得税,2221,应交税费,34000000,,支付的各项税费,,,,,企业所得税,,
42,黔岭酒业股份有限公司,2025-12-31,缴纳企业所得税,1002,银行存款,,34000000,支付的各项税费,,,,,企业所得税,,
